,Ano de exibição,Título da obra,Gênero,País(es) produtor(es) da obra,Nacionalidade da obra,Empresa distribuidora,Origem da empresa distribuidora,Público no ano de exibição,Renda (R$) no ano de exibição
53,2019,A Pequena Travessa,Ficção,Alemanha,Estrangeira,Paris,Distribuição Nacional,9298.0,135533.0
54,2019,A Prece,Ficção,França,Estrangeira,Imovision,Distribuição Nacional,322.0,3178.0
55,2019,A Pé Ele Não Vai Longe,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,10961.0,183761.0
56,2019,A Quarta Parede,Ficção,Brasil,Brasileira,Elo Company,Distribuição Nacional,1455.0,12327.0
57,2019,A Rebelião,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,22732.0,366619.0
58,2019,A Resistência De Inga,Ficção,"Alemanha, Dinamarca, França, Islândia",Estrangeira,Imovision,Distribuição Nacional,1078.0,16652.0
59,2019,A Rosa Azul De Novalis,Documentário,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,704.0,4923.0
60,2019,A Rota Selvagem,Ficção,Estados Unidos,Estrangeira,Califórnia/Diamond Films,Distribuição Nacional,64.0,1570.0
61,2019,A Sereia: Lago Dos Mortos,Ficção,Rússia,Estrangeira,Paris,Distribuição Nacional,235011.0,3304494.0
62,2019,A Serpente,Ficção,Brasil,Brasileira,Jura Filmes,Distribuição Nacional,527.0,5591.0
63,2019,A Sombra Do Pai,Ficção,Brasil,Brasileira,Pandora Filmes,Distribuição Nacional,2908.0,43183.0
64,2019,A Tabacaria,Ficção,"Alemanha, Áustria",Estrangeira,A2 Filmes,Distribuição Nacional,58901.0,1021174.0
65,2019,A Turma Do Pererê.Doc,Documentário,Brasil,Brasileira,O2 Play,Distribuição Nacional,472.0,4332.0
66,2019,A Vida De Diane,Ficção,Estados Unidos,Estrangeira,Supo Mungam Films,Distribuição Nacional,73.0,532.0
67,2019,A Vida Em Si,Ficção,Estados Unidos,Estrangeira,Paris,Distribuição Nacional,2028.0,28519.0
68,2019,A Vida Invisível,Ficção,"Alemanha, Brasil",Brasileira,Sony/Vitrine Filmes,Codistribuição Internacional-Nacional,117222.0,2010086.0
69,2019,A Voz Do Silêncio,Ficção,"Argentina, Brasil",Brasileira,Imovision,Distribuição Nacional,263.0,2275.0
70,2019,A Árvore  Dos Frutos Selvagens,Ficção,"Alemanha, Bulgária, França, Suécia, Turquia",Estrangeira,Fênix Filmes,Distribuição Nacional,4705.0,73825.0
71,2019,A Última Chance,Ficção,Brasil,Brasileira,Europa,Distribuição Nacional,45.0,484.0
